type; name; function; data_width; x_min; x_max; y_min; y_max; segment_idx_width; group_idx_width; area (LUT); latency (ns); max_absolute_error; mean_absolute_error; max_relative_error; mean_relative_error;
symmetric; symmetric_8bit_sin_low_freq; "sin(x*pi)"; 8; -1; 1; -1.1; 1.1; 4; 2; 27; 9.747; 0.101; 0.0288; 561000000000000.0; 293000000000.0;
symmetric; symmetric_8bit_sin_high_freq; "sin(5*x*pi)"; 8; -1; 1; -1.1; 1.1; 4; 2; 27; 9.646; 1.07; 0.289; 1150000000000000.0; 746000000000.0;
symmetric; symmetric_8bit_gelu; "0.5*x*(1+tanh(sqrt(2/pi)*(x+0.044715*x**3)))"; 8; -3; 5; -0.3; 5.1; 4; 2; 25; 9.422; 0.142; 0.0256; 99300000000.0; 12400000.0;
symmetric; symmetric_8bit_tanh; "128*tanh(0.03*(x-128))+128"; 8; 0; 256; 0; 256; 4; 2; 29; 9.687; 16.9; 2.46; 4.08; 0.28;
binary; binary_8bit_sin_low_freq; "sin(x*pi)"; 8; -1; 1; -1.1; 1.1; 4; 2; 24; 9.794; 0.1; 0.0267; 561000000000000.0; 293000000000.0;
binary; binary_8bit_sin_high_freq; "sin(5*x*pi)"; 8; -1; 1; -1.1; 1.1; 4; 2; 24; 9.742; 1.06; 0.291; 1150000000000000.0; 742000000000.0;
binary; binary_8bit_gelu; "0.5*x*(1+tanh(sqrt(2/pi)*(x+0.044715*x**3)))"; 8; -3; 5; -0.3; 5.1; 4; 2; 24; 9.31; 0.142; 0.0184; 99300000000.0; 12400000.0;
binary; binary_8bit_tanh; "128*tanh(0.03*(x-128))+128"; 8; 0; 256; 0; 256; 4; 2; 20; 9.328; 16.9; 2.55; 10.5; 0.655;
rom; rom_8bit_sin_low_freq; "sin(x*pi)"; 8; -1; 1; -1.1; 1.1; ; ; 27; 7.817; 0.0226; 0.00457; 7.21; 0.0315;
rom; rom_8bit_sin_high_freq; "sin(5*x*pi)"; 8; -1; 1; -1.1; 1.1; ; ; 30; 7.988; 0.105; 0.0198; 12800000000000.0; 16300000000.0;
rom; rom_8bit_gelu; "0.5*x*(1+tanh(sqrt(2/pi)*(x+0.044715*x**3)))"; 8; -3; 5; -0.3; 5.1; ; ; 27; 7.864; 0.0274; 0.00764; 28400000000.0; 3550000.0;
rom; rom_8bit_tanh; "128*tanh(0.03*(x-128))+128"; 8; 0; 256; 0; 256; ; ; 24; 7.724; 2.39; 0.447; 1.0; 0.133;
hybrid; hybrid_8bit_sin_low_freq; "sin(x*pi)"; 8; -1; 1; -1.1; 1.1; 4; ; 43; 10.312; 0.0226; 0.00457; 7.21; 0.0315;
hybrid; hybrid_8bit_sin_high_freq; "sin(5*x*pi)"; 8; -1; 1; -1.1; 1.1; 4; ; 56; 10.195; 0.105; 0.0198; 12800000000000.0; 16300000000.0;
hybrid; hybrid_8bit_gelu; "0.5*x*(1+tanh(sqrt(2/pi)*(x+0.044715*x**3)))"; 8; -3; 5; -0.3; 5.1; 4; ; 31; 9.492; 0.0274; 0.00764; 28400000000.0; 3550000.0;
hybrid; hybrid_8bit_tanh; "128*tanh(0.03*(x-128))+128"; 8; 0; 256; 0; 256; 4; ; 38; 10.24; 2.39; 0.447; 1.0; 0.133;
unary; unary_8bit_sin_low_freq; "sin(x*pi)"; 8; -1; 1; -1.1; 1.1; ; ; 28; 7.873; 0.0226; 0.00457; 7.21; 0.0315;
unary; unary_8bit_sin_high_freq; "sin(5*x*pi)"; 8; -1; 1; -1.1; 1.1; ; ; 30; 7.922; 0.105; 0.0198; 12800000000000.0; 16300000000.0;
unary; unary_8bit_gelu; "0.5*x*(1+tanh(sqrt(2/pi)*(x+0.044715*x**3)))"; 8; -3; 5; -0.3; 5.1; ; ; 28; 7.743; 0.0274; 0.00764; 28400000000.0; 3550000.0;
unary; unary_8bit_tanh; "128*tanh(0.03*(x-128))+128"; 8; 0; 256; 0; 256; ; ; 28; 7.816; 2.39; 0.447; 1.0; 0.133;
